loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0.031359,0,0,0,0.027125,0.014801,0.105,0.089488,0.126127,0.001737,0.015152,0.001737,0.022901,0,0.017241,0,0.189189,0.066667,0.028024,0.025701,0,false
0.038328,0,0,0,0.009042,0.004003,0.21,0.044651,0.068424,0.000234,0.003788,0.000234,0.026718,0,0,0,0.108108,0.041667,0.0059,0.014019,0,false
0.083624,0.045455,0,0.045455,0.070524,0.046835,0.045,0.204651,0.174661,0.01256,0.045455,0.012561,0.064885,0.068182,0.017241,0,0.297297,0.133333,0.067847,0.074766,0.045455,false
0.167247,0.159091,0,0.136364,0.167269,0.137431,0.03,0.331349,0.316482,0.059683,0.136364,0.059683,0.133588,0.068182,0.155172,0,0.513514,0.333333,0.162242,0.175234,0.159091,true
0.003484,0,0,0,0.004521,0.001466,0.335,0.027907,0.040091,0.000054,0,0.000054,0,0,0,0,0.081081,0.016667,0.004425,0.004673,0,false
0.059233,0.022727,0,0.022727,0.029837,0.016669,0.07,0.131535,0.096706,0.002874,0.015152,0.002874,0.053435,0,0.034483,0,0.243243,0.058333,0.032448,0.025701,0.022727,false
0.195122,0.113636,0,0.090909,0.176311,0.143005,0.03,0.287814,0.379053,0.053952,0.143939,0.053952,0.183206,0.045455,0.086207,0,0.459459,0.325,0.182891,0.165888,0.102273,true
0.006969,0,0,0,0.000904,0,0,0,0,0,0,0,0.003817,0,0,0,0.027027,0,0.001475,0,0,false
0.247387,0.25,0.28,0.204545,0.194394,0.160375,0.02,0.435721,0.280845,0.091584,0.159091,0.091584,0.20229,0.136364,0.172414,0.083333,0.567568,0.325,0.188791,0.203271,0.25,true
0.101045,0.045455,0,0.045455,0.04792,0.027909,0.045,0.197767,0.107739,0.00723,0.026515,0.007229,0.080153,0.113636,0.034483,0,0.27027,0.066667,0.053097,0.03972,0.045455,false
0.135889,0.090909,0.08,0.068182,0.095841,0.067524,0.035,0.260093,0.198177,0.023006,0.068182,0.023006,0.133588,0,0.034483,0,0.351351,0.166667,0.09292,0.100467,0.090909,true
0.094077,0.045455,0.08,0.022727,0.107595,0.079426,0.035,0.255814,0.236921,0.026626,0.079545,0.026626,0.083969,0,0.068966,0,0.351351,0.216667,0.094395,0.128505,0.045455,false
0.097561,0.045455,0,0.045455,0.057866,0.037989,0.055,0.170605,0.169999,0.00849,0.037879,0.00849,0.091603,0,0.017241,0,0.297297,0.125,0.057522,0.058411,0.045455,false
0.066202,0,0,0,0.068716,0.046624,0.085,0.109767,0.323889,0.006712,0.045455,0.006712,0.053435,0,0,0,0.216216,0.175,0.066372,0.07243,0,false
