loc,v(g),ev(g),iv(g),n,v,l,d,i,e,b,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
0.005522,0.006397,0,0,0.009241,0.004481,0.069231,0.027905,0.054495,0.000136,0.004453,0.000136,0.004958,0,0.008949,0,0.024331,0.01462,0.007934,0.011586,0.007273,false
0.029933,0.025586,0.02439,0.022444,0.036607,0.021347,0.015385,0.139048,0.05209,0.003229,0.021521,0.003229,0.027266,0.020349,0.020134,0.055556,0.060827,0.022417,0.037269,0.035419,0.029091,true
0.003487,0.004264,0.012195,0.002494,0.003791,0.001765,0.076923,0.025108,0.023851,0.000048,0.001855,0.000048,0.003541,0,0.002237,0,0.034063,0.007797,0.00369,0.003972,0.004848,false
0.000872,0,0,0,0.001066,0.000334,0.307692,0.005978,0.018955,0.000002,0.000371,0.000002,0.000708,0,0,0,0.012165,0.002924,0.001107,0.000993,0,false
0.001162,0,0,0,0.001659,0.000575,0.384615,0.004782,0.040805,0.000003,0.000742,0.000003,0.001062,0,0,0,0.009732,0.005848,0.001476,0.001986,0,false
0.01424,0.021322,0.036585,0.012469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024242,true
0.000581,0,0,0,0.000118,0,0,0,0,0,0,0,0.000354,0,0,0,0.002433,0,0.000185,0,0,false
0.003197,0.006397,0.012195,0.002494,0.003554,0.001679,0.084615,0.022429,0.025413,0.000041,0.001855,0.000041,0.003187,0,0.002237,0,0.036496,0.007797,0.00369,0.00331,0.007273,false
0.022087,0.014925,0,0.017456,0.046203,0.031161,0.038462,0.052582,0.201095,0.001782,0.031169,0.001782,0.023725,0,0.022371,0,0.043796,0.068226,0.040406,0.056604,0.01697,false
0.010462,0.006397,0.012195,0.007481,0.019666,0.011648,0.038462,0.047226,0.083681,0.000598,0.011503,0.000598,0.011331,0,0.011186,0,0.041363,0.033138,0.016052,0.02615,0.007273,true
0.000872,0,0,0,0.00154,0.000556,0.253846,0.007174,0.026308,0.000004,0.000371,0.000004,0.000708,0,0,0,0.014599,0.004873,0.001476,0.001655,0,false
0.005812,0.002132,0,0.002494,0.00853,0.004186,0.069231,0.026638,0.053301,0.000121,0.004082,0.000121,0.004958,0.002907,0.006711,0,0.029197,0.013645,0.008487,0.008606,0.002424,false
0.002906,0.004264,0.012195,0.002494,0.003673,0.00171,0.076923,0.025108,0.023114,0.000047,0.001855,0.000047,0.002833,0,0.002237,0,0.034063,0.007797,0.003506,0.003972,0.004848,false
0.001744,0,0,0,0.001896,0.000685,0.338462,0.005476,0.042508,0.000004,0.000742,0.000004,0.001416,0,0.002237,0,0.009732,0.006823,0.001476,0.002648,0,false
0.007265,0.008529,0,0.007481,0.011136,0.005865,0.046154,0.041846,0.047562,0.000267,0.005937,0.000267,0.008144,0,0.002237,0,0.036496,0.017544,0.009594,0.013903,0.009697,false
0.001744,0.002132,0,0,0.001303,0.000431,0.307692,0.005978,0.024483,0.000003,0.000371,0.000003,0.001771,0,0,0,0.012165,0.003899,0.001292,0.001324,0.002424,false
0.021215,0.017058,0.036585,0.009975,0.015756,0.009796,0.076923,0.023792,0.139703,0.000253,0.009647,0.000253,0.016289,0,0.011186,0.194444,0.03163,0.047758,0.010701,0.024826,0.019394,false
0.003778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.002034,0,0,0,0.002251,0.000813,0.207692,0.008967,0.030766,0.000008,0.000742,0.000008,0.001416,0,0.002237,0,0.012165,0.005848,0.001845,0.002979,0,false
0.008137,0.006397,0.018293,0.004988,0.007464,0.003786,0.061538,0.028192,0.045579,0.000116,0.003711,0.000116,0.006728,0.011628,0.006711,0,0.036496,0.013645,0.007565,0.007282,0.007273,true
0.009881,0.008529,0,0.007481,0.009951,0.005099,0.046154,0.039766,0.043508,0.00022,0.005195,0.00022,0.009915,0,0.011186,0,0.034063,0.015595,0.008487,0.012579,0.009697,false
0.007847,0.006397,0.018293,0.004988,0.008648,0.004474,0.069231,0.026758,0.056706,0.00013,0.004453,0.00013,0.007082,0.008721,0.006711,0,0.03163,0.017544,0.007749,0.010262,0.007273,false
0.002034,0,0,0,0.002843,0.001213,0.223077,0.008369,0.049194,0.000011,0.001113,0.000011,0.002125,0,0,0,0.017032,0.009747,0.002583,0.00331,0,false
0.011915,0.010661,0.012195,0.009975,0.01706,0.00948,0.038462,0.044429,0.072396,0.000458,0.009647,0.000458,0.010269,0.011628,0.01566,0,0.034063,0.025341,0.013838,0.02284,0.012121,false
0.000872,0,0,0,0.000592,0.000144,0.384615,0.004782,0.010179,0.000001,0,0.000001,0.000708,0,0,0,0.009732,0.000975,0.000738,0.000331,0,false
0.007556,0,0,0,0.004383,0.001871,0.176923,0.010426,0.06083,0.000021,0.001855,0.000021,0.003541,0.02907,0.011186,0,0.014599,0.010721,0.003875,0.005296,0,false
0.006103,0.002132,0,0.002494,0.005568,0.002554,0.115385,0.015447,0.056074,0.000043,0.002597,0.000043,0.004603,0,0.008949,0,0.019465,0.012671,0.004797,0.006951,0.002424,false
0.020052,0.023454,0.042683,0.014963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026667,true
0.002906,0.004264,0,0.004988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004848,false
0.024121,0.025586,0.04878,0.007481,0.0263,0.014514,0.015385,0.122238,0.040279,0.00193,0.014471,0.00193,0.022663,0.031977,0.01566,0,0.053528,0.016569,0.026384,0.02615,0.029091,true
0.001453,0,0,0,0.001777,0.000642,0.176923,0.010473,0.020815,0.000007,0.000742,0.000007,0.001062,0,0.002237,0,0.017032,0.003899,0.001845,0.001655,0,false
0.007847,0.017058,0.04878,0,0.009478,0.004757,0.030769,0.053587,0.030117,0.000277,0.004824,0.000277,0.008144,0.002907,0.002237,0,0.041363,0.010721,0.00941,0.009599,0.019394,false
0.00465,0.002132,0,0.002494,0.00699,0.003301,0.069231,0.025753,0.04349,0.000092,0.00334,0.000092,0.004603,0,0.004474,0,0.024331,0.012671,0.00572,0.009268,0.002424,false
0.011915,0.010661,0.02439,0.009975,0.013861,0.008083,0.092308,0.020732,0.132332,0.000182,0.008163,0.000182,0.01381,0,0.002237,0,0.029197,0.035088,0.011993,0.017213,0.012121,true
0.006103,0,0,0,0.00699,0.002616,0.069231,0.026303,0.03375,0.000075,0.002597,0.000075,0.002833,0.017442,0.013423,0,0.014599,0.005848,0.006827,0.007282,0,false
0.013659,0.01919,0.042683,0.009975,0.018007,0.010073,0.038462,0.047441,0.072045,0.00052,0.010019,0.00052,0.015227,0.002907,0.004474,0,0.038929,0.024366,0.016605,0.020523,0.021818,false
0.004069,0.004264,0,0.002494,0.005213,0.002462,0.123077,0.015375,0.054337,0.000041,0.002597,0.000041,0.003541,0,0.006711,0,0.021898,0.013645,0.004428,0.00662,0.004848,false
0.002034,0,0,0,0.011492,0.005097,0.053846,0.033046,0.052336,0.000183,0.005195,0.000183,0.001771,0,0.002237,0,0.019465,0.010721,0.010886,0.012579,0,false
0.008137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
0.022377,0.029851,0.067073,0.017456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033939,false
0.001744,0,0,0,0.001659,0.000599,0.215385,0.008608,0.023606,0.000006,0.000742,0.000006,0.001416,0,0.002237,0,0.014599,0.004873,0.001476,0.001986,0,false
0.007556,0.004264,0,0.004988,0.010188,0.005583,0.046154,0.039813,0.04758,0.000242,0.005566,0.000242,0.007082,0,0.006711,0,0.043796,0.019493,0.009041,0.012248,0.004848,false
0.047661,0.063966,0.030488,0.062344,0.041938,0.027991,0.015385,0.097202,0.097704,0.00296,0.027829,0.00296,0.042493,0.011628,0.087248,0,0.075426,0.051657,0.039668,0.046011,0.059394,false
0.001162,0,0,0,0.001303,0.000431,0.384615,0.004782,0.030591,0.000002,0.000371,0.000002,0.001062,0,0,0,0.009732,0.004873,0.001107,0.001655,0,false
0.017437,0.017058,0.04878,0.009975,0.02322,0.012334,0.023077,0.084744,0.049387,0.001137,0.012245,0.001137,0.015935,0.005814,0.026846,0,0.043796,0.015595,0.024539,0.020854,0.019394,false
0.005231,0.002132,0,0.002494,0.004739,0.002173,0.146154,0.012506,0.058953,0.00003,0.002226,0.00003,0.004603,0,0.006711,0.009259,0.019465,0.012671,0.004244,0.005627,0.002424,false
0.007556,0,0,0,0.005923,0.002798,0.107692,0.01748,0.054319,0.000053,0.002968,0.000053,0.003187,0.031977,0.011186,0,0.024331,0.012671,0.00572,0.006289,0,false
0.027899,0.031983,0.036585,0.004988,0.026537,0.015217,0.015385,0.123745,0.041718,0.002048,0.015213,0.002048,0.021955,0.075581,0.01566,0,0.055961,0.021442,0.023063,0.032771,0.036364,false
0.000872,0,0,0,0.001185,0.000392,0.307692,0.005978,0.022254,0.000003,0.000371,0.000003,0.000708,0,0,0,0.012165,0.003899,0.001107,0.001324,0,false
0.001453,0,0,0,0.002962,0.001109,0.1,0.01913,0.019657,0.000023,0.001113,0.000023,0.001416,0,0,0,0.019465,0.003899,0.003137,0.002648,0,false
0.012496,0.01919,0.042683,0.014963,0.024642,0.015379,0.030769,0.063941,0.08161,0.00107,0.015213,0.00107,0.01381,0,0.008949,0.009259,0.055961,0.038986,0.021218,0.030785,0.021818,false
0.003487,0,0,0,0.005213,0.002427,0.130769,0.014347,0.057391,0.000038,0.002597,0.000038,0.003187,0,0.002237,0,0.019465,0.013645,0.004244,0.006951,0,false
0.002034,0,0,0,0.001659,0.000575,0.253846,0.007174,0.027203,0.000004,0.000742,0.000004,0.001416,0,0.004474,0,0.012165,0.004873,0.001476,0.001986,0,false
0.007847,0.002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002424,false
0.002906,0.002132,0,0.002494,0.002014,0.000699,0.223077,0.008369,0.028327,0.000006,0.000742,0.000006,0.003187,0,0,0,0.012165,0.004873,0.001845,0.002317,0.002424,true
0.006393,0.014925,0.02439,0.012469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01697,false
